Set	Total
{beta-lactam, fluoroquinolone, quinolone}	6
{disinfecting agents and antiseptics;fluoroquinolone, drug_and_biocide_resistance, multidrug}	4
{fluoroquinolone, multidrug, quinolone}	9
{drug_and_biocide_resistance, fluoroquinolone, multidrug}	4
{cationic_antimicrobial_peptide, glycopeptide, peptide, polymyxin}	2
{MLS, macrolide, streptogramin b, macrolide/streptogramin, ml}	3
{na, rifampin}	1
{disinfecting agents and antiseptics;nucleoside, nucleoside, sulfonamide}	1
{MLS, lincosamide, multidrug, pleuromutilin ;streptogramin a ;streptogramin, streptogramin a}	1
{aminocoumarin ;macrolide, multidrug}	1
{cationic_antimicrobial_peptide, peptide, polymyxin}	1
{bacitracin, triclosan}	1
{efflux, macrolide, multidrug}	1
{drug_and_biocide_resistance, multidrug, quinolone}	2
{drug_and_biocide_resistance, multidrug, quaternary ammonium, quinolone}	2
{beta-lactam, carbapenem;cephalosporin;monobactam;penicillin beta-lactam}	1
{disinfecting agents and antiseptics;nucleoside, drug_and_biocide_resistance, multidrug}	3
{lipopeptide, na, peptide}	1
{drug_and_biocide_resistance, glycopeptide, peptide}	1
{fosfomycin, rifampin}	1
{MLS, lincosamide, lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide, streptogramin a, pleuromutilin, multidrug}	3
{drug_and_biocide_resistance, efflux, glycylcycline;tetracycline, multidrug}	2
{not found, stx1}	1
{lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	2
{mycobacterium_tuberculosis-specific_drug, trimethoprim}	1
{chloramphenicol, multidrug, phenicol}	7
{aminoglycoside ;cephalosporin;disinfecting agents and antiseptics;macrolide ;peptide ;rifamycin ;tetracycline, multidrug}	2
{drug_and_biocide_resistance, na}	1
{lipopeptide, multidrug}	5
{beta-lactam, na}	4
{elfamycin, tetracycline}	8
{multidrug, quinolone}	2
{MLS, ml, streptogramin}	1
{na, rifampin, rifamycin}	3
{bacitracin, qa_compound}	1
{MLS, multidrug}	4
{beta-lactam, nitrofuran}	2
{aminoglycoside ;cephalosporin;penicillin beta-lactam, drug_and_biocide_resistance, multidrug}	5
{aminoglycoside, trimethoprim}	1
{colistin, lipopeptide, peptide, polymyxin, polypeptide}	3
{aminocoumarin ;aminoglycoside ;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycylcycline;macrolide ;penicillin beta-lactam;peptide ;phenicol ;rifamycin ;tetracycline, multidrug}	1
{efflux, multidrug}	6
{drug_and_biocide_resistance, fluoroquinolone ;tetracycline, multidrug}	4
